control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak355	27	20	15	66	34	30	18	29	17	30	34	55
peak356	144	129	111	1187	935	812	123	145	151	868	990	1272
peak357	57	29	38	444	289	287	52	78	56	289	342	525
peak358	167	85	114	302	222	202	114	132	161	174	256	347
peak359	218	142	179	1091	738	672	204	263	256	649	820	1076
peak360	24	19	23	202	148	155	37	36	52	74	147	174
peak361	56	28	33	310	214	211	48	61	50	105	215	286
peak362	7	3	8	63	41	44	6	5	9	32	39	79
peak363	9	13	5	40	21	31	4	14	13	21	33	39
peak364	225	148	194	335	255	201	211	249	251	222	246	394
peak365	34	12	20	37	31	20	22	33	27	23	31	46
peak366	2	3	6	41	37	28	3	2	1	18	24	32
peak367	3	2	7	65	33	33	7	10	1	27	51	54
peak368	55	54	46	83	38	54	53	62	50	38	44	57
peak369	6	6	3	19	18	15	4	11	6	12	13	26
peak370	12	7	9	46	15	18	13	6	16	19	29	41
peak371	13	5	16	113	89	95	16	15	21	45	114	116
peak372	4	2	5	8	5	7	4	3	2	2	8	15
peak373	144	88	94	755	507	446	121	169	133	414	494	736
peak374	9	3	4	41	34	27	12	15	9	13	28	35
peak375	28	15	17	75	58	60	25	40	24	60	59	85
peak376	236	140	211	957	481	417	211	251	258	459	689	869
peak377	104	71	88	179	135	121	98	110	136	133	152	230
peak378	62	29	41	842	560	573	44	59	79	370	701	974
peak379	31	33	26	346	303	236	29	38	44	322	458	468
peak380	6	4	4	82	38	48	6	9	4	37	57	61
peak381	36	29	27	37	41	27	44	47	59	30	20	40
peak382	20	9	19	108	58	81	23	37	24	46	90	92
peak383	5	7	9	143	97	104	3	9	14	89	119	142
peak384	8	9	3	59	38	29	15	21	16	31	33	50
peak385	3	1	3	52	24	35	6	5	0	15	28	44
peak386	4	4	5	41	29	37	2	4	4	22	34	49
peak387	21	14	27	47	49	44	22	52	53	31	51	51
peak388	4	0	3	18	18	15	3	1	3	8	15	16
peak389	3	3	4	26	22	16	5	4	5	13	40	42
peak390	0	2	2	5	8	2	1	3	0	7	9	18
peak391	4	4	7	31	27	28	13	12	8	73	81	109
peak392	18	12	20	210	137	157	26	19	21	74	105	197
peak393	3	7	5	238	142	158	8	12	10	94	133	176
peak394	350	201	297	209	158	174	334	461	420	156	172	278
peak395	48	29	53	273	172	182	59	57	45	85	142	273
peak396	63	40	46	208	122	102	58	71	48	71	98	158
peak397	53	21	37	261	158	163	24	35	42	94	146	230
peak398	22	13	10	217	117	137	12	13	19	74	111	211
peak399	56	31	41	120	87	76	35	42	41	44	59	102
peak400	59	34	36	127	97	96	39	38	42	64	111	166
peak401	58	43	36	55	48	43	26	37	49	39	63	90
peak402	105	57	90	810	553	508	100	105	88	429	673	749
peak403	52	17	29	109	115	83	36	51	40	68	85	92
peak404	2	1	5	12	3	7	1	5	0	13	8	15
peak405	12	10	15	77	58	34	15	15	9	50	71	107
peak406	69	51	70	192	124	130	152	171	177	273	311	473
peak407	13	17	16	21	23	20	29	27	18	28	33	60
peak408	12	9	12	52	23	28	12	14	19	33	43	57
peak409	30	15	19	146	89	91	20	21	25	71	118	142
peak410	36	27	17	147	125	83	26	39	28	85	135	154
peak411	193	110	124	398	213	238	131	146	174	198	258	339
peak412	231	147	159	913	569	553	211	241	215	454	555	870
peak413	575	397	419	2350	1535	1531	468	528	497	1273	1765	2297
peak414	79	60	74	310	181	209	73	84	71	182	224	294
peak415	239	181	202	833	649	638	186	294	236	561	823	1110
peak416	73	75	64	220	157	159	59	74	96	115	211	215
peak417	57	43	42	406	294	285	52	76	64	220	388	459
peak418	25	20	14	63	45	42	81	107	121	126	144	251
peak419	8	1	11	65	36	28	24	23	32	105	155	217
peak420	35	35	34	106	69	72	18	42	28	51	74	115
peak421	18	15	14	35	34	19	14	15	17	21	21	46
peak422	39	21	23	197	115	120	26	35	34	74	114	127
peak423	13	8	11	122	84	70	9	12	9	64	109	100
peak424	11	5	4	34	16	25	8	6	5	12	20	23
peak425	56	37	50	79	70	63	20	53	57	56	75	130
peak426	45	29	24	94	86	75	41	59	42	62	85	112
peak427	152	82	97	683	492	502	172	161	174	383	518	780
peak428	25	25	43	93	69	91	28	71	49	68	70	172
peak429	17	5	14	117	53	81	17	36	24	66	102	126
peak430	27	15	18	65	44	54	31	37	28	42	64	77
peak431	41	27	52	145	101	109	66	83	70	96	124	162
peak432	46	21	36	68	56	50	53	62	60	44	73	88
peak433	36	32	32	97	59	82	66	67	60	48	97	116
peak434	29	30	35	94	77	90	53	76	77	57	105	133
peak435	56	28	47	310	202	264	70	90	76	221	318	367
peak436	23	13	27	127	80	111	36	44	50	101	121	173
peak437	569	416	562	473	318	366	496	661	716	272	312	454
peak438	245	147	199	606	390	441	242	262	260	304	411	632
peak439	355	266	347	1426	1069	1148	431	397	409	838	1174	1556
peak440	595	425	485	2549	1665	1795	502	681	580	1253	1966	2501
peak441	174	115	142	1247	888	940	193	179	191	594	904	1351
peak442	1431	873	1281	5462	3528	3921	1457	1754	1756	2850	4059	5368
peak443	55	42	59	352	270	242	80	79	88	190	263	316
peak444	92	92	89	1236	825	810	89	101	129	649	952	1177
peak445	23	20	34	123	86	94	34	18	24	68	86	160
peak446	272	168	226	1714	1117	1184	229	279	282	851	1169	1480
peak447	99	71	73	745	459	486	91	107	130	356	500	666
peak448	29	21	19	147	107	101	36	41	34	79	145	158
peak449	32	11	17	62	40	41	10	13	16	31	43	68
peak450	35	17	17	151	99	81	30	30	21	56	71	153
peak451	16	18	22	65	48	34	27	14	22	25	49	78
peak452	6	8	16	47	19	25	7	10	16	19	22	56
peak453	25	13	16	103	66	67	35	19	36	35	62	85
peak454	27	30	25	583	360	335	29	24	32	178	273	482
peak455	15	5	5	56	24	34	8	9	26	18	34	46
