control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak598	1051	1929	2132	3206	1395	1357	1900	2077
peak599	315	494	706	1630	426	426	790	1262
peak600	262	405	693	1427	345	340	744	1416
peak601	486	1489	1170	2666	286	612	478	799
peak602	276	937	1549	4376	191	335	593	1174
peak603	292	1066	4153	10684	242	537	2379	5731
peak604	94	299	429	1278	130	63	515	405
peak605	8	27	139	418	20	8	27	0
peak606	6	8	409	341	3	7	179	361
peak607	94	131	291	622	24	43	87	189
peak608	70	168	286	657	75	67	247	302
peak609	50	423	550	1634	1488	2012	3361	7587
peak610	14	91	101	466	277	467	831	1887
peak611	6	27	64	148	137	257	1097	1332
peak612	80	142	803	937	41	127	370	550
peak613	1731	2464	4718	4470	1662	2195	2364	3261
peak614	210	325	781	1119	312	486	843	1107
peak615	352	574	1813	1914	547	980	2370	4124
peak616	234	393	875	960	440	683	1299	1437
peak617	26	15	718	378	24	16	136	267
peak618	162	513	1703	1843	111	267	216	2066
