control_input	control_input.1	control_input.2	control_input.3	control_input.4	control_IP	control_IP.1	control_IP.2	control_IP.3	control_IP.4	treatment_input	treatment_input.1	treatment_input.2	treatment_input.3	treatment_input.4	treatment_IP	treatment_IP.1	treatment_IP.2	treatment_IP.3	treatment_IP.4
peak279	40	0	1	10	0	93	6	5	20	1	11	4	0	0	0	17	5	20	16	4
peak280	32	7	6	48	0	187	25	57	367	29	36	7	8	8	0	109	32	103	131	53
peak281	15	2	3	9	0	57	8	20	172	11	1	2	4	0	0	12	14	31	14	17
peak282	25	3	4	8	0	66	23	21	129	13	22	5	0	1	0	0	13	23	10	15
peak283	7	0	1	12	0	9	2	4	204	3	5	0	0	0	0	27	8	2	17	1
peak284	62	42	52	94	1	282	397	376	1522	323	32	39	26	8	0	84	356	552	167	287
peak285	56	10	17	22	0	489	92	114	87	47	13	18	4	3	0	108	91	84	98	42
peak286	32	20	13	5	1	90	93	99	149	61	16	12	5	6	0	31	105	103	140	63
peak287	57	6	18	21	1	1471	259	523	1806	321	18	9	5	2	0	398	405	647	2661	289
peak288	28	6	19	11	2	342	158	193	145	32	15	19	6	10	0	49	222	219	330	44
peak289	28	5	3	11	0	54	22	27	54	11	9	6	1	3	0	5	14	33	46	17
peak290	42	11	7	10	0	87	67	87	36	34	10	17	1	5	0	54	71	75	37	40
peak291	42	5	3	0	0	142	23	24	11	10	5	2	1	1	0	18	14	28	8	6
peak292	34	39	65	95	0	39	67	137	322	78	16	38	14	4	14	13	67	75	21	86
peak293	80	33	59	70	0	120	147	189	762	111	61	28	6	3	0	64	209	208	68	138
peak294	55	35	55	59	0	63	114	176	408	86	42	34	7	5	0	37	139	125	53	111
peak295	85	15	31	81	0	81	193	217	1068	108	49	20	5	13	1	20	214	213	168	197
