control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak506	31	40	72	76	42	45	102	61
peak507	156	122	844	743	172	138	813	585
peak508	274	316	1462	1539	367	407	1605	1658
peak509	229	214	1035	932	209	285	1106	962
peak510	50	77	533	807	46	48	400	365
peak511	270	395	1875	2571	313	330	1278	1197
peak512	179	207	551	530	176	207	404	332
peak513	362	367	649	555	394	356	467	417
peak514	115	102	383	378	101	82	283	220
peak515	1042	1073	7258	6698	923	852	6091	4506
peak516	0	6	16	66	3	0	15	13
peak517	32	42	128	135	57	63	205	162
peak518	67	65	368	322	92	106	570	406
peak519	30	54	148	124	61	71	256	157
peak520	172	200	820	624	220	246	644	543
peak521	51	64	241	211	79	77	284	240
peak522	58	59	161	130	96	93	229	146
peak523	35	39	216	202	68	64	258	231
peak524	106	104	492	440	170	206	689	530
peak525	220	263	963	1005	305	323	1441	1254
peak526	289	328	1740	1836	515	510	2592	2246
peak527	93	111	624	503	161	233	1201	895
peak528	306	376	631	571	435	507	807	762
peak529	66	76	264	299	78	55	241	175
peak530	97	101	219	220	105	89	225	160
peak531	35	38	129	167	30	38	116	92
peak532	49	24	78	50	25	27	63	33
peak533	120	102	392	291	82	122	340	272
peak534	50	47	203	188	45	37	155	104
peak535	69	77	318	253	98	67	260	175
peak536	100	88	177	123	118	126	211	118
peak537	86	123	293	191	124	132	298	194
peak538	123	119	427	369	108	130	376	202
peak539	615	713	1539	1376	469	467	858	775
peak540	185	191	997	906	154	172	627	456
peak541	176	193	833	715	164	161	490	436
peak542	83	83	256	224	53	58	194	164
peak543	159	220	922	727	193	141	616	414
peak544	171	158	1132	1074	135	126	811	604
peak545	125	139	394	380	88	97	315	242
peak546	387	433	1982	1860	315	289	1375	1088
peak547	81	66	205	186	29	58	152	106
peak548	23	36	143	139	33	30	136	108
peak549	14	15	92	87	14	15	83	50
peak550	8	9	103	108	6	2	87	73
peak551	95	87	225	181	110	107	186	213
peak552	183	165	919	799	179	232	951	826
peak553	9	4	63	52	11	18	67	47
peak554	10	12	83	75	17	14	87	72
peak555	44	41	188	140	59	56	168	129
peak556	60	50	207	191	41	46	215	175
peak557	487	513	1243	1042	566	600	1158	1049
peak558	116	129	439	325	192	202	626	478
peak559	69	80	287	237	123	119	411	381
peak560	101	100	782	758	107	133	759	685
peak561	67	65	214	167	65	71	183	152
peak562	45	73	121	104	52	57	115	93
peak563	22	17	111	80	31	34	70	65
peak564	127	187	292	237	216	289	422	332
peak565	136	129	302	305	192	212	387	330
peak566	82	110	281	254	147	141	338	350
peak567	62	97	245	196	130	143	271	246
peak568	70	46	355	292	95	108	424	342
peak569	129	185	706	698	190	216	689	635
peak570	231	207	1586	1602	209	234	1377	1123
peak571	163	146	269	213	158	185	291	225
peak572	75	72	246	196	52	70	192	186
peak573	55	56	200	178	50	48	157	145
peak574	1313	1342	8527	8087	1037	1215	6804	5655
peak575	78	81	172	154	92	90	182	122
peak576	8	9	85	61	23	12	64	60
peak577	280	333	772	801	273	255	638	560
peak578	13	14	139	80	33	25	140	113
peak579	15	15	40	63	35	29	71	64
peak580	33	35	265	231	37	43	357	277
peak581	15	22	77	60	18	17	107	66
peak582	207	197	714	580	213	193	708	495
peak583	132	111	247	246	152	167	267	260
peak584	97	89	303	234	103	119	335	323
peak585	230	211	834	787	259	279	888	785
peak586	141	141	428	398	190	203	530	482
peak587	40	39	189	188	42	46	164	125
peak588	116	126	398	356	97	99	350	234
peak589	62	55	372	329	72	68	342	265
peak590	89	135	584	1259	122	114	459	540
peak591	79	77	383	361	60	73	329	277
peak592	66	78	259	291	69	73	184	171
peak593	130	136	743	673	110	151	684	501
peak594	69	73	160	180	66	60	111	106
peak595	155	158	605	539	180	158	658	497
peak596	239	237	938	904	286	276	893	680
peak597	79	79	276	226	101	101	245	218
peak598	102	92	367	318	112	108	454	314
peak599	310	320	2462	2375	334	346	2577	1868
peak600	214	215	655	565	222	286	661	638
peak601	88	76	174	136	80	108	143	109
peak602	22	34	96	82	35	24	81	59
peak603	40	57	201	162	78	59	287	187
peak604	73	63	338	295	87	75	388	316
peak605	63	55	336	314	78	91	417	323
peak606	27	23	191	156	24	26	156	148
peak607	815	820	1761	1612	859	984	1626	1627
peak608	1308	1412	4325	3637	1508	1621	4695	3912
peak609	862	872	4347	2814	1142	1317	5283	4596
peak610	391	435	1338	1290	503	600	1365	1215
peak611	206	245	714	903	264	358	756	733
peak612	65	99	286	280	62	67	153	123
peak613	109	111	472	292	67	65	384	235
peak614	147	143	686	588	158	166	667	502
peak615	108	113	631	598	113	94	536	393
peak616	364	381	1919	1656	363	362	1424	1121
peak617	317	321	524	472	460	513	685	580
peak618	16	6	101	75	9	6	85	60
peak619	396	412	1029	961	378	373	839	676
peak620	327	374	2068	1962	304	255	1782	1485
peak621	60	55	102	101	59	72	93	78
peak622	58	63	164	136	42	61	135	104
peak623	97	97	352	416	75	69	272	288
peak624	260	268	1130	1116	342	338	1311	1008
peak625	303	317	222	164	306	349	194	219
peak626	199	223	779	720	266	264	784	728
peak627	32	32	130	89	22	38	89	69
peak628	64	56	180	170	59	47	140	100
peak629	63	39	176	119	59	44	150	95
peak630	36	45	163	116	25	38	80	86
peak631	57	56	121	98	47	90	141	136
peak632	77	134	283	248	123	127	253	219
peak633	75	59	503	462	81	87	628	440
peak634	312	297	1534	1440	349	450	1698	1400
peak635	8	11	61	49	19	15	72	58
peak636	11	3	56	66	11	12	83	64
peak637	11	8	59	58	9	8	87	72
peak638	196	188	778	793	216	257	875	769
peak639	30	33	122	132	31	24	146	87
peak640	88	111	53	63	141	97	135	115
peak641	186	172	396	400	281	211	383	377
peak642	115	171	214	325	238	225	210	207
peak643	665	852	2067	2009	1166	1176	2332	1934
peak644	27	31	149	159	36	36	229	166
peak645	64	63	197	130	68	70	160	120
peak646	81	65	363	321	89	62	336	257
peak647	24	26	95	104	18	30	102	83
peak648	90	85	253	208	81	92	250	180
peak649	0	5	54	54	8	6	54	49
peak650	34	27	124	132	40	52	168	129
peak651	45	47	303	245	83	81	345	325
peak652	32	35	104	103	39	47	141	103
peak653	19	22	58	43	19	27	67	64
peak654	12	17	101	121	27	24	140	103
peak655	16	20	53	107	9	23	37	49
peak656	70	107	213	200	95	79	207	173
peak657	30	43	111	91	44	52	72	60
peak658	96	123	392	354	136	140	406	326
peak659	158	171	522	462	165	174	557	476
peak660	263	247	1159	1040	331	355	1347	1106
peak661	98	124	568	548	146	156	615	557
peak662	81	121	461	634	112	119	365	367
peak663	297	346	1016	822	376	401	1028	886
peak664	179	198	726	583	201	225	710	612
peak665	113	95	355	351	111	114	335	333
peak666	448	525	2127	1716	477	513	2219	1775
peak667	523	580	5346	5299	592	640	4890	4290
